Name,Group,Average Male Height,Average Male Weight,Year of Recognition,Popularity Rank,Place of Origin,
Affenpinscher,Toy,10,8,1936,148,Germany,Europe
Afghan Hound,Hound,26,55,1926,117,Afghanistan,Asia
Airedale Terrier,Terrier,23,60,1888,65,England,Europe
Akita,Working,27,115,1972,55,Japan,Asia
Alaskan Malamute,Working,25,85,1935,67,America,North America
American Eskimo Dog,Non Sporting Group,17,30,1994,123,America,North America
American Foxhound,Hound,23,67,1886,196,America,North America
American Hairless Terrier,Terrier,14,20,2016,120,America,North America
American Staffordshire Terrier,Terrier,18,62,1936,87,America,North America
American Water Spaniel,Sporting,16,37,1940,166,America,North America
Anatolian Shepherd Dog,Working Group,29,130,1996,79,Turkey,Asia
Australian Cattle Dog,Herding,19,42,1980,48,Australia,Oceania
Australian Terrier,Terrier,10,17,1960,136,Australia,Oceania
Azawakh,Hound,27,50,2019,194,West Africa,Africa
Barbet,Sporting,22,50,2020,147,France,Europe
Basenji,HOund,17,24,1944,91,Central Africa,Africa
Basset Hound,Hound,15,52,1885,36,France,Europe
Beagle,Hound,14,25,1885,8,England,Europe
Bearded Collie,Herding,21,50,1976,124,Scotland,Europe
Beauceron,Herding,26,90,2007,111,France,Europe
Bedlington Terrier,Terrier,16,20,1886,152,England,Europe
Belgian Laekenois,Herding,25,60,2020,195,Belgium,Europe
Belgian Malinois,Herding,25,70,1959,32,Belgium,Europe
Belgian Sheepdog,Herding,25,65,1912,125,Belgium,Europe
Belgian Tervuren,Herding,25,65,1959,104,Belgium,Europe
Bergamasco Sheepdog,Herding,23.5,77,2015,179,Italy,Europe
Berger Picard,Herding,24,60,2015,153,France,Europe
Bernese Mountain Dog,Working,26,97,1937,22,Switzerland,Europe
Bichon Frise,Non Sporting,10,15,1972,47,Canary Islands,Africa
Biewer Terrier,toy,9,6,2021,77,Germany,Europe
Black and Tan Coonhound',Hound,26,87,1945,149,America,North America
Black Russian Terrier,Working,28,115,2004,128,Russia,Europe
Bloodhound,Hound,26,100,1885,50,Belgium,Europe
Bluetick Coonhound,hound,24,67,2009,133,America,North America
Boerboel,Working,25,175,2015,118,South Africa,Africa
Border Collie,Herding,20,42,1995,30,Scotland,Europe
Border Terrier,Terrier,13,14,1930,95,Scotland,Europe
Borzoi,Hound,28,90,1891,101,Russia,Europe
Boston Terrier,Non Sporting Group,11,18,1893,24,America,North America
Bouvier des Flandres,Herding,26,90,1931,98,Belgium,Europe
Boxer,Working,24,72,1904,16,Germany,Europe
Boykin Spaniel,Sporting,16,35,2009,82,America,North America
Bracco Italiano,Sporting,24,77,2022,9999,Italy,Europe
Briard,Herding,25,77,1928,151,France,Europe
Brittany,Sporting,19,35,1934,28,France,Europe
Brussels Griffon,Toy,8,9,1910,97,Belgium,Europe
Bull Terrier,Terrier,21,60,1885,64,England,Europe
Bulldog,Non Sporting,14,50,1886,6,England,Europe
Bullmastiff,Working,26,120,1934,61,England,Europe
Cairn Terrier,Terrier,10,14,1913,70,Scotland,Europe
Canaan Dog,Herding,22,50,1997,187,Israel,Asia
Cane Corso,Working,25,105,2010,18,Italy,Europe
Cardigan Welsh Corgi,Herding,11,34,1935,62,Wales,Europe
Cavalier King Charles Spaniel,Toy,12,15,1995,14,England,Europe
Cesky Terrier,Terrier,11,19,2011,191,Czech Republic,Europe
Chesapeake Bay Retriever,Sporting,24,72,1878,52,America,North America
Chihuahua,Toy,6,6,1904,34,Mexico,North America
Chinese Crested,Toy,12,10,1991,80,China,Asia
Chinese Char Pei,Non Sporting,19,52,1992,68,China,Asia
Chinook,Working,25,72,2013,180,America,North America
Chow Chow,Non Sporting,18,47,1903,92,China,Asia
Cirneco dell'Etna,Hound,19,24,2015,184,Italy,Europe
Clumber Spaniel,Sporting,19,77,1878,139,Spain,Europe
Cocker Spaniel,Sporting,15,27,1878,29,England,Europe
Collie,Herding,25,67,1885,39,Scotland,Europe
Coton de Tulear,Non Sporting,10,12,2014,84,Madagascar,Africa
Curly Coated Retriever,Sporting Group,26,77,1924,156,England,Europe
Dachshund,Hound,8,24,1885,9,Germany,Europe
