Name,Group,Average Male Height,Average Male Weight,Year of Recognition,Popularity Rank,Place of Origin,
Beagle,Hound,14,25,1885,8,England,Europe
Bernese Mountain Dog,Working,26,97,1937,22,Switzerland,Europe
Boston Terrier,Non Sporting Group,11,18,1893,24,America,North America
Boxer,Working,24,72,1904,16,Germany,Europe
Bulldog,Non Sporting,14,50,1886,6,England,Europe
Cane Corso,Working,25,105,2010,18,Italy,Europe
Cavalier King Charles Spaniel,Toy,12,15,1995,14,England,Europe
Dachshund,Hound,8,24,1885,9,Germany,Europe
Doberman Pinscher,Working,27,87,1908,15,Germany,Europe
French Bulldog,Non Sporting,12,28,1898,1,France,Europe
German Shepherd Dog,Herding,25,77,1908,4,Germany,Europe
German Shorthaired Pointer,Sporting,24,62,1930,10,Germany,Europe
Golden Retriever,Sporting,23,70,1925,3,Scotland,Europe
Great Dane,Working,31,157,1887,19,Germany,Europe
Havanese,Toy,10,10,1996,25,Cuba,North America
Labrador Retriever,Sporting,23,72,1917,2,America,North America
Mini Poodle,Non Sporting,12,12,1887,7,Germany,Europe
Miniature Schnauzer,Terrier,13,15,1926,17,Germany,Europe
Pembroke Welsh Corgi,Herding,11,30,1934,11,Wales,Europe
Pomeranian,Toy,6,5,1888,23,Germany,Europe
Poodle,Non Sporting,15,65,1887,7,Germany,Europe
Rottweiler,Working,25,115,1931,7,Germany,Europe
Shih Tzu,Toy,9,12,1969,20,China,Asia
Siberian Husky,Working,22,52,1930,21,Siberia,Europe
Toy Poodle,Toy,10,5,1887,7,Germany,Europe
